Vehicle Name,Year of Model,Brand Name,Engine,Kms Driven,Variant,Transmission Type,Number of Photos Uploaded,Total Views,Price of the Car
2015 Volkswagen Polo,2015,Volkswagen,GT TSI,"35,986",Petrol,Automatic, 13,4620,"5,70,000"
2016 Maruti Alto K10,2016,Maruti,VXI,"61,562",Petrol,Manual, 14,2557,"2,85,000"
2016 Maruti Alto 800,2016,Maruti,LXI,"65,107",Petrol,Manual, 7,342,"2,63,000"
2018 Maruti Ciaz,2018,Maruti,Zeta Diesel,"75,199",Diesel,Manual, 30,2772,"6,55,000"
2017 Ford Ecosport,2017,Ford,1.5 Diesel Trend,"59,404",Diesel,Manual, 14,2733,"6,01,000"
2016 Ford Ecosport,2016,Ford,1.5 Ti VCT MT Titanium BSIV,"57,729",Petrol,Manual, 15,2749,"5,80,000"
2020 Maruti S-presso,2020,Maruti,VXI,"18,713",Petrol,Manual, 29,8828,"4,25,000"
2016 Maruti Celerio,2016,Maruti,VXI,"33,409",Petrol,Manual, 15,395,"3,89,000"
2019 Hyundai Venue,2019,Hyundai,S Turbo,"18,490",Petrol,Manual, 16,3165,"8,50,000"
2018 Maruti Vitara Brezza,2018,Maruti,VDi Option,"82,299",Diesel,Manual, 13,4371,"6,23,000"
2016 Maruti Alto K10,2016,Maruti,VXI AMT,"11,507",Petrol,Automatic, 15,904,"3,42,000"
2018 Toyota Yaris,2018,Toyota,G CVT BSIV,"34,118",Petrol,Automatic, 13,862,"9,18,000"
2017 Maruti Swift Dzire,2017,Maruti,ZXI,"47,576",Petrol,Manual, 13,775,"5,97,500"
2019 Renault Triber,2019,Renault,RXT BSIV,"24,332",Petrol,Manual, 13,1153,"5,45,500"
2015 Maruti Ritz,2015,Maruti,VXi,"8,566",Petrol,Manual, 14,5432,"3,55,000"
2017 Maruti Ignis,2017,Maruti,1.2 Zeta BSIV,"69,657",Petrol,Manual, 18,186,"4,36,000"
2015 Maruti Alto K10,2015,Maruti,VXI,"4,960",Petrol,Manual, 13,2473,"3,05,000"
2011 Hyundai I20,2011,Hyundai,1.2 Magna,"69,744",Petrol,Manual, 26,3186,"2,80,000"
2012 Mercedes-benz E-class,2012,Mercedes-benz,Elegance 220 CDI,"98,618",Diesel,Automatic, 31,1464,"17,39,000"
2017 Maruti Wagon R,2017,Maruti,AMT VXI,"25,695",Petrol,Automatic, 6,162,"4,11,900"
2012 Bmw X1,2012,Bmw,sDrive20d,"1,19,897",Diesel,Automatic, 31,6744,"10,80,300"
2015 Hyundai Grand I10,2015,Hyundai,1.2 CRDi Sportz,"1,03,466",Diesel,Manual, 30,4116,"4,20,100"
2011 Volkswagen Vento,2011,Volkswagen,Diesel Highline,"92,152",Diesel,Manual, 31,966,"3,66,800"
2013 Hyundai Grand I10,2013,Hyundai,1.2 CRDi Sportz,"69,345",Diesel,Manual, 31,699,"3,40,000"
2014 Bmw 3 Series,2014,Bmw,320d Prestige,"90,544",Diesel,Automatic, 31,8386,"14,85,700"
2016 Maruti Vitara Brezza,2016,Maruti,ZDi Plus Dual Tone,"42,347",Diesel,Manual, 32,53,"8,68,000"
2018 Hyundai I20,2018,Hyundai,Petrol CVT Asta,"32,069",Petrol,Automatic, 31,3195,"6,55,500"
2015 Audi Q5,2015,Audi,2.0 TDI Premium Plus,"61,095",Diesel,Automatic, 30,1292,"29,48,600"
2017 Hyundai Grand I10,2017,Hyundai,1.2 CRDi Sportz,"54,117",Diesel,Manual, 30,1512,"4,96,900"
2017 Maruti Baleno,2017,Maruti,Delta Diesel,"41,614",Diesel,Manual, 30,1304,"7,60,800"
2018 Hyundai Grand I10,2018,Hyundai,1.2 CRDi Asta,"67,628",Diesel,Manual, 31,1195,"4,91,500"
2018 Hyundai Grand I10,2018,Hyundai,1.2 Kappa Sportz BSIV,"19,017",Petrol,Manual, 30,1346,"5,20,800"
2017 Honda City,2017,Honda,i-VTEC CVT ZX,"52,362",Petrol,Automatic, 31,5675,"8,95,000"
2017 Maruti Alto 800,2017,Maruti,LXI,"11,763",Petrol,Manual, 29,4323,"3,10,000"
2015 Ford Ecosport,2015,Ford,1.5 DV5 MT Titanium,"63,959",Diesel,Manual, 30,2994,"5,85,000"
2017 Hyundai Grand I10,2017,Hyundai,CRDi Sportz,"59,298",Diesel,Manual, 30,1317,"6,44,400"
2017 Maruti Alto 800,2017,Maruti,LXI,"41,583",Petrol,Manual, 13,100,"2,78,700"
2017 Honda Wr-v,2017,Honda,i-DTEC VX,"1,03,301",Diesel,Manual, 32,375,"7,10,000"
2012 Mercedes-benz E-class,2012,Mercedes-benz,Elegance 220 CDI,"98,618",Diesel,Automatic, 31,1464,"17,39,000"
2017 Maruti Wagon R,2017,Maruti,AMT VXI,"25,695",Petrol,Automatic, 6,162,"4,11,900"
2012 Bmw X1,2012,Bmw,sDrive20d,"1,19,897",Diesel,Automatic, 31,6744,"10,80,300"
2015 Hyundai Grand I10,2015,Hyundai,1.2 CRDi Sportz,"1,03,466",Diesel,Manual, 30,4116,"4,20,100"
2011 Volkswagen Vento,2011,Volkswagen,Diesel Highline,"92,152",Diesel,Manual, 31,966,"3,66,800"
2013 Hyundai Grand I10,2013,Hyundai,1.2 CRDi Sportz,"69,345",Diesel,Manual, 31,699,"3,40,000"
2014 Bmw 3 Series,2014,Bmw,320d Prestige,"90,544",Diesel,Automatic, 31,8386,"14,85,700"
